Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
Ivan Nova,- - -,1297,0.168,0.064,0.304,0.486,0.209,0.305,0.085,89.6,0.171,0.509,0.321,0.615,0.055,0.003,0.25,0.078,,,-0.46,-0.53,-2.21,0.18,-1.2,,,0.317,0.467,0.82,0.431,0.595,0.084,0.733,92.8,86.6,86.9,80.3,86.2,,,0.664,0.675,0.911,23,1994
Guillermo Moscoso,- - -,147.1,0.146,0.084,0.242,0.271,0.193,0.536,0.107,,0.191,0.574,0.235,0.637,0.065,,0.169,0.13,,,0.55,-0.43,,-1.09,0.03,,,0.301,0.468,0.84,0.442,0.605,0.075,0.642,90.9,83.6,,78.7,80.1,,,0.679,0.767,0.881,22.8,5106
Kevin Gausman,- - -,870.1,0.211,0.071,0.314,0.43,0.218,0.352,0.108,88.3,0.178,0.498,0.324,0.644,0.115,,0.003,0.04,0.198,,-0.17,-1.22,,-4.42,-1.7,0.64,,0.326,0.48,0.774,0.422,0.584,0.108,0.742,94.6,81.3,,78.9,83.8,83.9,,0.69,0.65,0.855,23,14107
Marco Gonzales,- - -,431,0.185,0.063,0.316,0.421,0.232,0.347,0.118,88.5,0.183,0.476,0.341,0.397,0.002,0.179,0.18,0.242,,,-0.19,-3.44,0.06,-0.12,-0.06,,,0.335,0.472,0.819,0.431,0.653,0.086,0.707,89.6,82.5,86.1,77.3,82.2,,,0.653,0.743,0.87,23.3,15467
Bronson Arroyo,- - -,975.2,0.141,0.052,0.273,0.421,0.192,0.387,0.1,88.6,0.181,0.509,0.31,0.424,0.204,0.046,0.153,0.173,,,-1.11,1.28,-0.45,1,-1.13,,,0.304,0.455,0.856,0.46,0.647,0.065,0.75,86.9,75.1,85.2,71.4,78.9,,,0.633,0.76,0.911,21,978
JC Ramirez,Angels,149,0.169,0.086,0.286,0.5,0.192,0.308,0.071,87.7,0.164,0.473,0.363,0.51,0.321,,0.168,,0.001,,0.2,-0.25,,-0.59,,-3.02,,0.256,0.456,0.805,0.485,0.601,0.089,0.747,95.4,87.9,,78.9,,87.5,,0.669,0.626,0.878,23.5,8302
Tyler Chatwood,- - -,736.2,0.162,0.121,0.297,0.542,0.205,0.253,0.065,87.5,0.182,0.534,0.285,0.691,0.029,0.125,0.106,0.049,,,-0.22,-0.38,0.92,-0.89,-1.4,,,0.255,0.426,0.826,0.432,0.543,0.074,0.73,93.2,84.9,88.4,78.3,84.4,,,0.652,0.683,0.9,21.2,4338
Ross Detwiler,- - -,431,0.139,0.073,0.298,0.463,0.198,0.339,0.083,90,0.179,0.525,0.296,0.737,,0.027,0.13,0.107,,,-0.18,,-3.25,-1.48,-1.25,,,0.304,0.468,0.855,0.444,0.577,0.068,0.7,92,,88.4,78.3,84.3,,,0.673,0.763,0.908,21.5,2859
Brandon Finnegan,Reds,226.2,0.198,0.121,0.266,0.397,0.218,0.385,0.051,88.4,0.165,0.484,0.351,0.662,0.204,,,0.134,,,-0.7,-0.29,,,1.57,,,0.277,0.445,0.788,0.428,0.549,0.094,0.756,91.8,83.4,,,84.1,,,0.671,0.662,0.857,22.8,16208
Chad Kuhl,Pirates,313,0.204,0.092,0.314,0.41,0.232,0.358,0.067,89.2,0.178,0.467,0.356,0.618,0.221,,0.068,0.093,,,-0.89,1.64,,1.88,-2.87,,,0.265,0.443,0.79,0.454,0.572,0.093,0.733,95,87.9,,82.4,88.3,,,0.658,0.637,0.864,21.7,14975
Jose Urena,Marlins,512.2,0.163,0.079,0.277,0.474,0.196,0.33,0.094,88.3,0.16,0.478,0.362,0.595,0.223,,0.005,0.178,,,0.28,0.45,,2.39,-0.97,,,0.314,0.459,0.817,0.391,0.581,0.084,0.723,95.3,85.5,,82.4,88.9,,,0.683,0.723,0.884,20.4,11589
Dinelson Lamet,Padres,187.1,0.306,0.105,0.28,0.368,0.226,0.406,0.093,88,0.177,0.468,0.355,0.549,0.415,,,0.037,,,-0.9,1.87,,,-3.22,,,0.293,0.45,0.719,0.447,0.576,0.127,0.709,95.4,85.7,,,90.3,,,0.644,0.509,0.836,24.7,17186
Nick Tropeano,- - -,207.2,0.21,0.095,0.293,0.361,0.196,0.443,0.094,89.2,0.141,0.501,0.358,0.506,,,0.239,0.173,0.082,,-0.36,,,0.38,-1.56,-0.2,,0.289,0.445,0.736,0.417,0.596,0.117,0.761,90.7,,,79.9,82,81.7,,0.662,0.56,0.844,22.6,12385
Tom Gorzelanny,- - -,265,0.207,0.089,0.315,0.396,0.186,0.419,0.112,,0.206,0.483,0.311,0.607,0.217,0.001,0.012,0.163,,,-0.06,-0.35,-24.49,0.01,-1.45,,,0.321,0.467,0.784,0.437,0.596,0.1,0.713,89.9,79.9,89.8,74.4,83.5,,,0.654,0.658,0.863,20.3,6244
Kendall Graveman,Athletics,441.1,0.149,0.069,0.301,0.516,0.201,0.283,0.056,89.4,0.166,0.54,0.293,0.613,0.077,0.207,,0.072,0.031,,-0.27,0.16,-0.73,,0.44,-1.66,,0.277,0.437,0.832,0.445,0.611,0.073,0.735,92.5,78.9,88.1,,85.7,83.3,,0.635,0.685,0.912,21,15514
Derek Holland,- - -,1159.2,0.196,0.084,0.294,0.413,0.208,0.379,0.099,88.8,0.187,0.489,0.323,0.616,0.164,,0.135,0.084,0.001,,-0.22,0.05,,-0.6,-1.23,1.88,,0.291,0.455,0.811,0.446,0.614,0.086,0.72,92.7,82.1,,77.4,83.7,83.4,,0.659,0.682,0.881,21.5,4141
Yusmeiro Petit,- - -,131.1,0.237,0.052,0.306,0.347,0.221,0.432,0.105,90,0.153,0.534,0.313,0.524,0.173,,0.212,0.091,,,-1.19,0.48,,2.23,1.84,,,0.347,0.487,0.765,0.425,0.678,0.114,0.671,88.5,83.8,,76.6,81.3,,,0.676,0.642,0.85,25,4020
Trevor Richards,- - -,249.2,0.228,0.098,0.302,0.357,0.233,0.41,0.084,88.4,0.147,0.454,0.399,0.492,,0.053,0.104,0.351,,,-0.66,,-1.53,-2.07,1.73,,,0.321,0.469,0.763,0.405,0.602,0.111,0.744,90.8,,85.4,80,83.2,,,0.686,0.649,0.842,22.8,19309
Vidal Nuno,- - -,229,0.182,0.067,0.273,0.394,0.179,0.427,0.097,88.8,0.18,0.476,0.344,0.447,0.274,0.013,0.141,0.126,,,-0.97,-0.18,-2.9,0.9,-0.03,,,0.324,0.467,0.823,0.454,0.657,0.082,0.723,88.8,82.7,85.9,76.9,82,,,0.638,0.732,0.879,18.8,9674
Travis Wood,- - -,841.1,0.182,0.083,0.282,0.332,0.224,0.444,0.114,89.3,0.184,0.519,0.297,0.525,0.077,0.264,0.038,0.096,,,0.14,-1.09,0.14,-2.26,-0.75,,,0.289,0.462,0.847,0.459,0.588,0.071,0.701,89.1,79.2,86.4,72.4,79,,,0.666,0.761,0.89,21.6,9884
Tyler Skaggs,- - -,520.2,0.215,0.08,0.306,0.434,0.217,0.35,0.115,88.8,0.174,0.475,0.351,0.598,,,0.273,0.129,,,0.09,,,-0.24,0.09,,,0.302,0.457,0.798,0.451,0.618,0.092,0.707,91.5,,,75.4,83.9,,,0.646,0.682,0.864,23.6,10190
Ryan Yarbrough,Rays,114.1,0.201,0.041,0.277,0.429,0.217,0.354,0.143,85.8,0.188,0.474,0.338,0.252,0.125,0.353,,0.27,,,-0.98,1.17,0.83,,2.38,,,0.347,0.496,0.794,0.436,0.631,0.102,0.616,88.5,73.2,84.7,,79.8,,,0.687,0.681,0.868,25,16502
Scott Feldman,- - -,855,0.155,0.069,0.296,0.459,0.224,0.317,0.099,86.6,0.199,0.537,0.264,0.339,0.001,0.35,0.253,0.01,0.048,,-0.76,9.55,0.09,-0.07,-3.47,-2.2,,0.284,0.441,0.841,0.449,0.594,0.07,0.691,90,82.7,88.2,75.4,83.5,84.6,,0.633,0.724,0.906,23.1,6283
Rick Porcello,- - -,1860.1,0.179,0.053,0.31,0.469,0.206,0.326,0.1,88.6,0.178,0.523,0.3,0.614,0.154,,0.113,0.119,,,-0.01,-0.47,,-0.42,-0.23,,,0.312,0.469,0.83,0.467,0.634,0.079,0.692,90.8,84.9,,75.6,81.5,,,0.65,0.724,0.889,22.2,2717
Jair Jurrjens,- - -,330,0.147,0.076,0.302,0.401,0.205,0.394,0.064,,0.18,0.533,0.287,0.595,0.172,,,0.233,,,-0.36,-0.3,,,-1.3,,,0.293,0.462,0.836,0.451,0.613,0.075,0.728,89.8,79.5,,,83.2,,,0.667,0.753,0.88,21.7,5556
Merrill Kelly,Diamondbacks,183.1,0.203,0.073,0.292,0.42,0.224,0.356,0.066,89.9,0.127,0.446,0.427,0.467,,0.186,0.214,0.134,,,0.3,,0.48,0.11,-1.09,,,0.308,0.468,0.791,0.414,0.583,0.098,0.731,91.9,,90,80.6,86,,,0.695,0.679,0.861,25.5,11156
Homer Bailey,- - -,1198.2,0.199,0.071,0.305,0.446,0.217,0.337,0.093,89.5,0.175,0.5,0.325,0.585,0.174,0.003,0.098,,0.141,,-0.24,0.8,-9.44,-1.17,,-0.14,,0.317,0.48,0.793,0.454,0.63,0.099,0.712,93.1,87.3,89.6,78.4,,85.4,,0.678,0.646,0.876,23.6,8362
Eric Lauer,Padres,260.1,0.206,0.084,0.322,0.386,0.245,0.369,0.111,89.2,0.173,0.42,0.408,0.551,0.126,0.151,0.133,0.041,,,0.28,-1.88,-0.93,-0.26,-2.41,,,0.282,0.469,0.82,0.462,0.62,0.085,0.725,91.6,84.4,88.3,76.3,85.3,,,0.686,0.693,0.88,23.2,19316
Felipe Paulino,- - -,262.1,0.212,0.102,0.333,0.435,0.185,0.38,0.066,,0.184,0.524,0.292,0.554,0.265,,0.09,0.092,,,-0.83,0.64,,-1.57,0.72,,,0.267,0.436,0.799,0.456,0.579,0.087,0.687,95,87.2,,77.7,86.2,,,0.637,0.642,0.878,20.5,3777
Bud Norris,- - -,1002.2,0.211,0.089,0.307,0.416,0.207,0.377,0.09,89.9,0.166,0.524,0.31,0.56,0.315,0.029,0.006,0.09,,,-1,1.02,1.2,-5.11,-1.02,,,0.29,0.457,0.784,0.441,0.59,0.098,0.712,92.9,85.5,88.2,80.3,84.9,,,0.668,0.618,0.876,22.6,9492
Scott Diamond,Twins,343,0.109,0.057,0.303,0.5,0.211,0.289,0.051,,0.123,0.561,0.316,0.619,,,0.267,0.115,,,-0.74,,,-0.22,-1.19,,,0.303,0.46,0.86,0.457,0.6,0.064,0.694,89,,,81.2,83.5,,,0.648,0.74,0.926,22,5089
Justin Masterson,- - -,949.1,0.189,0.094,0.313,0.57,0.183,0.248,0.08,88.2,0.18,0.563,0.257,0.792,0.199,,,0.008,,,-0.43,1.05,,,-0.65,,,0.284,0.446,0.809,0.458,0.568,0.085,0.691,91.3,82.2,,,85.1,,,0.637,0.64,0.898,19.4,2038
Joel Pineiro,Angels,290,0.123,0.057,0.306,0.515,0.184,0.3,0.04,,0.159,0.563,0.278,0.66,0.15,,0.127,0.064,,,-0.36,-0.72,,0.16,0.27,,,0.283,0.444,0.877,0.475,0.584,0.055,0.699,87.8,84.1,,76.5,82.6,,,0.622,0.774,0.929,20.5,1094
Clayton Richard,- - -,1042.1,0.147,0.076,0.302,0.541,0.199,0.261,0.06,89,0.167,0.497,0.337,0.647,0.156,0.064,0.01,0.124,,,0.11,-0.61,-2.42,0.36,-1.22,,,0.299,0.461,0.839,0.446,0.607,0.074,0.706,90.6,81.4,85.9,75.5,83.7,,,0.662,0.716,0.909,19.3,3551
Joe Saunders,- - -,812.2,0.132,0.071,0.307,0.456,0.209,0.336,0.079,,0.158,0.536,0.306,0.634,0.073,,0.116,0.177,,,-0.6,-0.98,,-0.01,-1.18,,,0.274,0.435,0.859,0.424,0.597,0.061,0.713,89.7,81.9,,75.3,81.3,,,0.654,0.737,0.928,19.8,4366
Tom Koehler,- - -,749.2,0.177,0.096,0.293,0.438,0.204,0.358,0.077,88.8,0.168,0.512,0.32,0.549,0.168,0.001,0.228,0.055,,,-0.95,1.11,-2.83,0.71,-0.92,,,0.274,0.44,0.812,0.444,0.588,0.083,0.72,92.5,85.6,87.9,79.1,85,,,0.649,0.655,0.895,21.2,6570
Jonathan Pettibone,Phillies,109.1,0.149,0.085,0.324,0.493,0.219,0.288,0.079,,0.159,0.53,0.312,0.569,0.059,0.184,,0.189,,,0.36,-6.09,-0.84,,-1.59,,,0.269,0.443,0.858,0.442,0.597,0.062,0.715,90.8,83.8,86.5,,83.3,,,0.663,0.767,0.905,19.4,7106
Rubby de la Rosa,- - -,392.1,0.191,0.087,0.296,0.484,0.198,0.318,0.077,88.4,0.173,0.521,0.306,0.611,0.18,,0.013,0.196,,,-0.75,0.65,,-0.14,-0.86,,,0.295,0.466,0.79,0.449,0.552,0.098,0.741,94.5,84.9,,77.7,86.7,,,0.676,0.674,0.852,22.4,3862
Ariel Miranda,Mariners,218,0.198,0.093,0.231,0.315,0.17,0.515,0.148,88.3,0.207,0.472,0.321,0.58,0.049,,,0.181,0.19,,0.13,0.73,,,-0.78,0.15,,0.252,0.471,0.786,0.477,0.606,0.101,0.766,92.1,81.9,,,83.5,80.6,,0.711,0.645,0.84,21.9,17526
Erasmo Ramirez,- - -,488.1,0.189,0.068,0.281,0.416,0.209,0.376,0.089,88.8,0.169,0.517,0.314,0.52,0.138,0.079,0.051,0.212,,,-0.36,-1.35,1.3,-1.91,0.86,,,0.321,0.486,0.785,0.464,0.63,0.104,0.708,91.4,84.5,87.7,78,81.3,,,0.677,0.655,0.856,21.8,10314
Matt Moore,- - -,841.1,0.206,0.096,0.302,0.384,0.2,0.417,0.111,89.2,0.173,0.509,0.318,0.596,,0.054,0.195,0.156,,,-0.23,,-2.15,0.1,0.53,,,0.283,0.462,0.781,0.462,0.593,0.101,0.716,92.8,,89.4,81.1,84.2,,,0.671,0.641,0.85,22.2,1890
Jon Gray,Rockies,641,0.245,0.076,0.324,0.47,0.232,0.297,0.096,88.6,0.178,0.479,0.343,0.54,0.299,,0.118,0.044,,,-0.89,1.58,,0.17,-1.49,,,0.293,0.465,0.755,0.465,0.628,0.114,0.704,95.3,88.4,,79.1,85.7,,,0.662,0.531,0.869,23.8,14916
Daniel Norris,- - -,398.1,0.209,0.077,0.31,0.392,0.218,0.39,0.081,89.8,0.157,0.474,0.369,0.551,0.215,,0.083,0.152,,,-0.78,-0.18,,-0.4,0.79,,,0.288,0.453,0.783,0.453,0.598,0.098,0.727,92,85.3,,76.2,85.7,,,0.654,0.594,0.883,21.9,13475
Andrew Heaney,- - -,433.1,0.233,0.065,0.296,0.386,0.228,0.386,0.1,89,0.169,0.439,0.393,0.599,0.233,,,0.168,,,-0.25,-0.09,,,0.42,,,0.324,0.477,0.756,0.432,0.633,0.116,0.744,91.8,79.1,,,83.5,,,0.678,0.598,0.856,22.9,15423
David Hale,- - -,112.1,0.189,0.074,0.312,0.491,0.206,0.303,0.057,89.2,0.18,0.567,0.253,0.654,0.178,,,0.169,,,-0.22,-0.71,,,-0.66,,,0.325,0.478,0.77,0.429,0.593,0.109,0.694,90.6,81,,,79.7,,,0.682,0.633,0.857,22.1,9756
Javier Vazquez,- - -,336.2,0.19,0.078,0.277,0.344,0.191,0.465,0.107,,0.214,0.517,0.269,0.572,0.151,,0.17,0.107,,,-0.02,-0.85,,0.63,-1.1,,,0.305,0.474,0.816,0.463,0.611,0.086,0.702,89.7,82.6,,73.4,79.3,,,0.669,0.705,0.875,22.7,801
Jason Hammel,- - -,1382,0.187,0.07,0.299,0.419,0.215,0.367,0.079,89.1,0.176,0.505,0.319,0.565,0.286,,0.094,0.056,,,-0.51,0.48,,-0.65,-1.33,,,0.298,0.463,0.808,0.454,0.599,0.089,0.706,92.5,84.4,,77.3,85.8,,,0.66,0.656,0.89,22.2,4538
Ubaldo Jimenez,- - -,1330.1,0.214,0.105,0.305,0.452,0.203,0.345,0.096,88.5,0.184,0.528,0.289,0.587,0.174,0.001,0.062,0.089,0.088,,-0.32,0.08,4.26,-1.3,0.39,0.05,,0.263,0.419,0.806,0.439,0.561,0.081,0.709,92.2,83.4,89.2,76.9,84.8,84.4,,0.617,0.67,0.88,20.3,3374
T.J. House,Indians,114,0.174,0.068,0.344,0.604,0.23,0.167,0.033,88.9,0.16,0.564,0.276,0.565,0.227,,0.037,0.172,,,-1.51,1.12,,-2.05,-0.24,,,0.312,0.456,0.808,0.441,0.611,0.087,0.724,90.4,83.8,,75.9,81.8,,,0.639,0.653,0.903,19.6,9121
Jeremy Guthrie,- - -,1128.2,0.132,0.064,0.291,0.41,0.208,0.383,0.091,88.9,0.18,0.521,0.299,0.589,0.188,,0.092,0.132,,,-0.36,-0.76,,-1.06,-0.69,,,0.284,0.452,0.865,0.465,0.6,0.061,0.718,92.2,84.6,,74.8,84.8,,,0.646,0.772,0.912,19.9,2072
Caleb Smith,- - -,237.2,0.261,0.097,0.261,0.267,0.217,0.516,0.146,88.3,0.177,0.457,0.366,0.554,0.298,,,0.149,,,0.05,0.3,,,-0.38,,,0.321,0.488,0.747,0.414,0.596,0.123,0.744,92.1,83,,,83.1,,,0.723,0.653,0.806,22.9,14875
Wade LeBlanc,- - -,549,0.171,0.069,0.302,0.354,0.225,0.421,0.095,88.1,0.191,0.509,0.3,0.431,0,0.228,0.081,0.261,,,-0.76,-80.37,-0.11,-0.75,-0.07,,,0.313,0.448,0.814,0.427,0.612,0.083,0.736,86.6,79,83.3,73.4,76.7,,,0.628,0.731,0.869,21,5221
Phil Hughes,- - -,1056,0.183,0.051,0.305,0.339,0.219,0.442,0.113,90.5,0.176,0.514,0.311,0.612,0.043,0.129,0.162,0.054,0.001,,0.03,-0.21,-0.12,-1.3,-1.85,2.37,,0.312,0.505,0.844,0.506,0.687,0.079,0.716,91.8,80.9,88,75.8,84,84,,0.694,0.743,0.888,21.8,7450
Edinson Volquez,- - -,1203.1,0.19,0.106,0.299,0.494,0.2,0.306,0.069,88.6,0.178,0.522,0.3,0.531,0.001,,0.235,0.233,,,-0.74,-0.54,,-0.1,0.43,,,0.276,0.433,0.78,0.448,0.567,0.095,0.707,93.3,82.2,,79.6,83.7,,,0.627,0.611,0.872,24.8,3990
Bruce Chen,- - -,606,0.157,0.07,0.289,0.329,0.207,0.465,0.132,88,0.218,0.491,0.291,0.447,0.273,,0.126,0.154,,,-0.95,0.09,,0.07,0.02,,,0.319,0.472,0.846,0.46,0.629,0.072,0.723,85.9,82.3,,73,77.1,,,0.652,0.768,0.892,19.3,769
Chris Tillman,Orioles,1072.1,0.175,0.089,0.284,0.401,0.214,0.384,0.103,89.6,0.177,0.515,0.308,0.605,0.009,0.095,0.152,0.139,,,-0.24,-2.19,0.23,-1.18,0.32,,,0.271,0.452,0.835,0.443,0.555,0.075,0.719,91.2,82.7,85.5,75.7,82.5,,,0.681,0.74,0.883,22.4,5279
Dave Bush,- - -,185,0.134,0.083,0.293,0.394,0.184,0.421,0.072,,0.175,0.522,0.303,0.514,0.124,0.073,0.227,0.062,,,-0.83,-0.5,-1.1,-1.37,-0.32,,,0.269,0.447,0.86,0.466,0.602,0.062,0.698,86.5,80.3,82.9,68.4,80.4,,,0.651,0.758,0.909,22.7,4635
Kyle Gibson,Twins,1081.2,0.179,0.083,0.308,0.515,0.218,0.268,0.098,88.3,0.171,0.505,0.324,0.578,0.201,,0.071,0.15,,,-0.57,0.66,,-0.88,0.45,,,0.337,0.455,0.771,0.375,0.592,0.104,0.706,92.1,84.5,,80.1,84.1,,,0.652,0.629,0.894,23.8,10123
Lucas Giolito,- - -,411.1,0.227,0.098,0.261,0.411,0.201,0.388,0.115,88.4,0.18,0.491,0.329,0.583,0.138,,0.08,0.199,,,0.01,0.76,,-2.51,1.46,,,0.292,0.464,0.759,0.452,0.587,0.112,0.711,93.2,84.2,,78.9,81.7,,,0.673,0.612,0.836,24.6,15474
Blake Beavan,Mariners,264,0.105,0.036,0.284,0.369,0.218,0.413,0.113,,0.175,0.509,0.316,0.643,0.178,0.001,0.121,0.058,,,-0.35,0.55,-49.95,-1.23,-4.69,,,0.313,0.486,0.874,0.482,0.634,0.061,0.737,90.7,79.6,82.3,74.3,82.1,,,0.671,0.818,0.903,23.1,338
Brian Johnson,Red Sox,115,0.178,0.089,0.314,0.375,0.19,0.434,0.105,89.4,0.183,0.443,0.374,0.481,0.194,,0.298,0.026,,,-0.45,-0.32,,-1.08,-2.3,,,0.298,0.433,0.814,0.412,0.58,0.081,0.768,88.2,78.4,,74.3,80.2,,,0.624,0.671,0.911,20.6,14272
Chris Stratton,- - -,216,0.181,0.096,0.309,0.425,0.264,0.311,0.048,89.1,0.142,0.479,0.378,0.602,0.138,,0.162,0.098,,,0.44,-1.17,,-0.64,-3.08,,,0.279,0.449,0.812,0.446,0.613,0.085,0.722,91.1,83.6,,77.5,84.1,,,0.661,0.689,0.876,22.5,13761
Erik Bedard,- - -,461.2,0.217,0.098,0.31,0.392,0.205,0.403,0.099,,0.183,0.532,0.285,0.51,,0.127,0.255,0.106,0.001,,-0.56,,0.58,-0.18,-0.47,0.34,,0.278,0.436,0.812,0.457,0.613,0.082,0.689,89.6,,88,76,75.9,79.9,,0.623,0.7,0.871,25.5,126
Randy Wolf,- - -,631.2,0.152,0.08,0.303,0.398,0.216,0.386,0.095,89,0.188,0.504,0.308,0.525,0.185,,0.182,0.109,,,-0.38,-0.26,,-1.57,-0.17,,,0.273,0.451,0.85,0.461,0.591,0.068,0.725,88.3,82.2,,67.6,78.2,,,0.659,0.746,0.9,20.6,976
John Danks,White Sox,969,0.165,0.074,0.293,0.419,0.196,0.385,0.093,87.7,0.192,0.525,0.283,0.478,,0.206,0.079,0.237,,,-0.71,,-0.26,-0.36,0.42,,,0.297,0.472,0.814,0.469,0.613,0.087,0.698,90.2,,86.5,75,81.2,,,0.67,0.708,0.867,19,6329
Zach McAllister,Indians,357.1,0.187,0.079,0.316,0.394,0.207,0.399,0.093,91,0.138,0.552,0.31,0.714,0.061,0.016,0.123,0.072,0.014,,-0.08,-1.66,-1.9,-0.96,-2.32,-6.1,,0.278,0.46,0.837,0.474,0.602,0.075,0.659,91.9,85.1,86.4,79.2,81.1,83.4,,0.663,0.726,0.889,20.7,2895
Taylor Jungmann,Brewers,144,0.198,0.103,0.297,0.462,0.2,0.339,0.071,87.9,0.189,0.506,0.305,0.676,,,0.264,0.061,,,-0.99,,,1.12,-0.35,,,0.262,0.413,0.81,0.433,0.568,0.078,0.695,91.5,,,75.8,84.2,,,0.611,0.621,0.916,23.5,13119
Jesse Chavez,- - -,428,0.202,0.075,0.303,0.421,0.229,0.349,0.107,88.6,0.159,0.508,0.333,0.345,0.061,0.343,0.088,0.164,,,-0.99,-0.4,0.28,-0.23,0.09,,,0.272,0.439,0.815,0.435,0.623,0.081,0.71,91.3,83.5,89.3,75.5,84.5,,,0.656,0.71,0.872,20.8,5448
Freddy Garcia,- - -,459.1,0.151,0.069,0.292,0.392,0.231,0.376,0.116,,0.174,0.506,0.32,0.343,0.259,,0.086,0.131,0.181,,-1.22,-0.6,,-0.42,0.97,-0.26,,0.291,0.44,0.806,0.421,0.621,0.085,0.734,87.4,80.4,,71.6,80.7,79.3,,0.644,0.679,0.885,21.6,1077
Jonathan Sanchez,- - -,370.1,0.22,0.136,0.281,0.413,0.175,0.411,0.139,,0.208,0.479,0.313,0.633,0.181,,,0.186,,,-0.16,-0.98,,,-0.48,,,0.252,0.413,0.776,0.453,0.548,0.092,0.723,90,80.5,,,82.1,,,0.608,0.601,0.863,21.9,7507
Robert Gsellman,Mets,156.2,0.168,0.075,0.308,0.508,0.218,0.274,0.094,87,0.195,0.518,0.287,0.632,0.165,,0.113,0.09,,,-0.59,-0.31,,-1.54,0.09,,,0.297,0.471,0.837,0.436,0.634,0.077,0.663,92.9,88.5,,80.3,85.4,,,0.697,0.731,0.896,21.5,13696
Jeff Suppan,- - -,107.2,0.095,0.084,0.296,0.454,0.188,0.358,0.067,,0.129,0.541,0.33,0.547,0.184,,0.128,0.142,,,-1.2,1.28,,-2.64,-1.25,,,0.242,0.412,0.876,0.456,0.559,0.051,0.747,86.6,82.7,,71,79.8,,,0.615,0.763,0.929,22.4,633
Tyler Glasnow,- - -,189.2,0.257,0.096,0.301,0.458,0.194,0.348,0.09,88.4,0.194,0.473,0.333,0.661,0.039,,0.233,0.068,,,0.06,0.99,,-0.59,-1.75,,,0.279,0.44,0.759,0.452,0.59,0.106,0.691,95.7,84.9,,81.4,89.6,,,0.635,0.558,0.866,22.8,14374
Ricky Nolasco,- - -,1326,0.179,0.057,0.317,0.429,0.218,0.353,0.073,89.2,0.171,0.526,0.303,0.48,0.267,,0.138,,0.116,,-0.89,0.24,,-0.1,,-0.24,,0.319,0.468,0.792,0.438,0.614,0.097,0.696,90.5,82.3,,74.4,,81.1,,0.659,0.642,0.886,22.5,3830
Kevin Millwood,- - -,406,0.157,0.074,0.308,0.408,0.218,0.374,0.104,,0.179,0.563,0.258,0.555,0.203,0.099,0.08,0.064,,,-0.3,-0.84,0.08,-0.89,0.13,,,0.281,0.434,0.854,0.422,0.576,0.063,0.698,89.5,83.4,89.4,71.8,81.8,,,0.644,0.76,0.911,22.9,106
Adam Conley,Marlins,292.2,0.194,0.096,0.304,0.392,0.196,0.412,0.138,88,0.201,0.477,0.323,0.65,0.171,,0.005,0.174,,,-0.44,1.08,,-4.11,-0.14,,,0.294,0.475,0.792,0.447,0.603,0.098,0.732,90.6,84.9,,78.8,82.7,,,0.7,0.651,0.865,19.4,14457
Jeremy Hefner,Mets,199,0.176,0.06,0.304,0.435,0.196,0.369,0.086,,0.167,0.537,0.296,0.551,0.206,,0.115,0.129,,,-0.24,1.41,,-2.08,-2.12,,,0.326,0.47,0.824,0.433,0.645,0.083,0.653,90.5,85.4,,75.8,84.3,,,0.657,0.69,0.91,19.9,1989
Brett Cecil,Blue Jays,346.2,0.167,0.078,0.285,0.408,0.183,0.408,0.103,,0.206,0.507,0.287,0.504,0.185,0,0.088,0.223,,,-0.69,0.52,-4.24,0.6,-0.11,,,0.315,0.465,0.808,0.442,0.575,0.089,0.711,89.3,84.2,85,77.7,81.1,,,0.654,0.696,0.876,21.4,2660
Felix Doubront,- - -,464,0.197,0.098,0.307,0.438,0.212,0.35,0.105,89.4,0.167,0.523,0.309,0.618,,0.099,0.138,0.146,,,-0.61,,-2.31,-0.4,0.77,,,0.261,0.436,0.807,0.463,0.552,0.084,0.692,91.2,,86.6,75.3,83.7,,,0.64,0.667,0.873,23,1478
Wade Davis,- - -,477.1,0.155,0.085,0.303,0.381,0.216,0.403,0.139,,0.198,0.508,0.294,0.658,0.075,0.056,0.172,0.04,,,0,-0.18,-1.91,-1.06,-5.83,,,0.285,0.456,0.858,0.453,0.592,0.065,0.724,91.9,85.9,88.8,79.8,85.5,,,0.662,0.75,0.914,22,7441
Matt Andriese,- - -,236.2,0.199,0.062,0.307,0.439,0.196,0.365,0.119,90.7,0.182,0.456,0.362,0.468,,0.149,0.13,0.253,,,-0.55,,0.12,-1.12,0.25,,,0.336,0.484,0.783,0.45,0.623,0.105,0.718,91.7,,86.4,80.5,85.6,,,0.666,0.654,0.862,25.2,12022
Barry Zito,- - -,566.1,0.153,0.094,0.294,0.381,0.21,0.409,0.107,86.7,0.192,0.514,0.294,0.434,0.245,,0.192,0.129,,,-0.48,-0.25,,-0.08,-0.42,,,0.293,0.431,0.825,0.418,0.56,0.075,0.707,84.4,79.4,,71.5,74.8,,,0.623,0.726,0.89,21.1,944
