Name,Team,IP,K%,BB%,BABIP,GB%,LD%,FB%,IFFB%,EV,Soft%,Med%,Hard%,FB%,SL%,CT%,CB%,CH%,SF%,KN%,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Swing%,Contact%,Zone%,F-Strike%,SwStr%,LOB%,FBv,SLv,CTv,CBv,CHv,SFv,KNv,Z-Swing%,O-Contact%,Z-Contact%,Pace,playerid
R.A. Dickey,- - -,1627.2,0.178,0.072,0.273,0.455,0.193,0.351,0.126,87.1,0.222,0.522,0.256,0.146,,,0.001,0.02,,0.834,0.68,,,1.62,-0.06,,0.04,0.296,0.479,0.798,0.492,0.618,0.097,0.746,83,,,70.3,72.4,,76.2,0.668,0.718,0.835,18.6,1245
Julio Urias,Dodgers,123,0.238,0.093,0.326,0.388,0.263,0.349,0.103,86.5,0.215,0.484,0.301,0.569,0.141,,0.135,0.156,,,0.28,0.9,,-2.04,1.79,,,0.302,0.455,0.766,0.413,0.591,0.106,0.725,93.3,85.1,,76.5,81,,,0.671,0.649,0.841,23.5,14765
Tim Stauffer,Padres,238,0.167,0.071,0.284,0.523,0.192,0.285,0.093,,0.254,0.489,0.257,0.505,0.041,0.231,0.122,0.101,,,0.92,3.64,-1.02,-2.04,0.87,,,0.273,0.432,0.839,0.452,0.577,0.069,0.749,90.6,86.1,85.9,76.8,80.6,,,0.625,0.695,0.915,19,6432
Daniel Hudson,- - -,368,0.196,0.06,0.293,0.397,0.203,0.4,0.124,93.9,0.234,0.496,0.27,0.629,0.145,0.007,0.002,0.218,,,0.04,0.42,-2.57,-4.51,1.05,,,0.321,0.479,0.779,0.446,0.591,0.106,0.719,93,86.5,88.3,74.1,83.4,,,0.676,0.655,0.851,19.8,7146
Jameson Taillon,Pirates,466,0.215,0.06,0.308,0.482,0.228,0.29,0.098,87.7,0.195,0.493,0.311,0.6,0.097,,0.228,0.076,,,0.14,1.16,,0.52,-0.74,,,0.327,0.481,0.802,0.448,0.632,0.095,0.745,95,89.5,,81.4,87.7,,,0.67,0.664,0.885,22.1,11674
Johan Santana,Mets,316,0.194,0.071,0.282,0.34,0.216,0.443,0.124,,0.219,0.494,0.287,0.586,0.167,,,0.247,,,0.68,0.17,,,0.32,,,0.31,0.488,0.791,0.478,0.633,0.102,0.752,89,81.2,,,78.6,,,0.683,0.676,0.847,21.8,755
Jarrod Parker,- - -,384,0.173,0.08,0.273,0.425,0.22,0.354,0.095,,0.151,0.584,0.266,0.635,0.136,,0.011,0.218,,,0.14,0.53,,-1.05,1.06,,,0.315,0.459,0.786,0.421,0.579,0.098,0.741,92,82.9,,75.4,81.3,,,0.658,0.658,0.87,22.1,4913
Luis Castillo,Reds,449.2,0.265,0.087,0.267,0.52,0.185,0.295,0.09,87.6,0.189,0.448,0.363,0.554,0.163,,,0.282,,,-0.16,0.37,,,2.33,,,0.325,0.478,0.7,0.413,0.584,0.144,0.752,96.4,84.9,,,86.9,,,0.695,0.544,0.803,21.1,15689
Lance McCullers Jr.,Astros,451.1,0.265,0.094,0.314,0.546,0.2,0.254,0.07,88.5,0.202,0.506,0.292,0.437,0.001,,0.444,0.118,,,-0.77,-5.98,,1.65,-0.6,,,0.306,0.446,0.732,0.429,0.573,0.12,0.728,94.2,88.2,,85.3,88.2,,,0.632,0.504,0.878,22.9,14120
Jake Arrieta,- - -,1456,0.215,0.084,0.275,0.488,0.208,0.303,0.096,87.1,0.209,0.513,0.278,0.582,0.042,0.154,0.143,0.08,,,0.52,-0.69,0.73,0.03,-0.39,,,0.302,0.444,0.803,0.447,0.587,0.087,0.719,93.2,86.4,89.5,79.4,87.4,,,0.619,0.674,0.881,23,4153
Marcus Stroman,- - -,839,0.196,0.069,0.307,0.587,0.189,0.224,0.065,89.1,0.196,0.496,0.309,0.528,0.129,0.136,0.151,0.056,,,0.2,0.94,0.09,1.11,-1.43,,,0.297,0.452,0.791,0.434,0.592,0.094,0.723,92.8,86.7,90.7,83.7,84.6,,,0.655,0.618,0.894,22,13431
Ross Stripling,Dodgers,257,0.235,0.052,0.303,0.491,0.205,0.305,0.106,88.5,0.179,0.483,0.338,0.426,0.22,,0.238,0.117,,,-0.53,0.2,,1.79,-0.53,,,0.313,0.46,0.787,0.45,0.673,0.098,0.768,90.9,86.7,,79.4,83.1,,,0.639,0.635,0.878,24.2,13273
Doug Fister,- - -,1334,0.163,0.055,0.296,0.489,0.202,0.309,0.085,87.6,0.189,0.528,0.283,0.602,0.138,0,0.144,0.117,,,0.35,-1.23,-3.78,0.07,0.39,,,0.32,0.432,0.849,0.451,0.621,0.065,0.723,88.3,84.8,85,73.4,80.8,,,0.569,0.764,0.906,18.8,9425
Tony Cingrani,Reds,159.2,0.256,0.104,0.265,0.349,0.203,0.448,0.141,94.4,0.152,0.5,0.348,0.785,0.076,,0.045,0.095,,,0.41,-0.27,,-0.56,-2.76,,,0.27,0.432,0.786,0.444,0.562,0.092,0.798,91.5,79.1,,75.8,85.3,,,0.635,0.664,0.852,21.2,12555
Roy Oswalt,- - -,423.1,0.201,0.06,0.305,0.447,0.196,0.357,0.114,,0.201,0.536,0.264,0.575,0.119,,0.137,0.17,,,0.33,0.21,,-0.21,-0.09,,,0.301,0.479,0.81,0.493,0.643,0.091,0.732,91.9,84.2,,71.6,82.4,,,0.662,0.705,0.859,20.9,571
John Means,Orioles,147.1,0.179,0.058,0.255,0.306,0.191,0.503,0.115,87.4,0.171,0.547,0.282,0.509,0.146,,0.061,0.284,,,0.13,1.42,,-3.58,1.36,,,0.326,0.477,0.805,0.387,0.633,0.093,0.744,91.8,83.7,,76.8,80.9,,,0.717,0.749,0.845,21.7,16269
Tanner Roark,- - -,1023.1,0.195,0.069,0.289,0.437,0.217,0.347,0.09,87.7,0.189,0.535,0.276,0.608,0.152,0.012,0.125,0.104,,,0.2,0.73,-2.63,0.01,0.59,,,0.295,0.45,0.809,0.433,0.603,0.086,0.756,91.9,85.1,88.5,75.6,83.4,,,0.653,0.693,0.878,21.8,8753
Matt Cain,Giants,1199.2,0.192,0.071,0.273,0.39,0.209,0.401,0.123,88.8,0.189,0.526,0.285,0.538,0.179,0.003,0.139,0.142,,,0.06,0.95,-0.28,0.3,-0.08,,,0.3,0.465,0.816,0.447,0.618,0.085,0.726,91,85.8,88.5,77.1,85.1,,,0.671,0.689,0.887,21.4,4732
